N_STATES,SEED,LL,AIC,BIC,MIN_COUNT,CONVERGED,VALID
2,38595,15244.66,-30463.33,-30388.6,334,True,True
2,38753,15243.74,-30461.49,-30386.76,316,True,True
2,38808,15244.63,-30463.26,-30388.53,334,True,True
2,38864,15243.03,-30460.06,-30385.33,311,True,True
2,38931,15242.66,-30459.33,-30384.6,304,True,True
2,39231,15242.5,-30458.99,-30384.26,304,True,True
2,39309,15244.42,-30462.83,-30388.1,334,True,True
2,39332,15244.69,-30463.38,-30388.65,334,True,True
2,39432,15242.5,-30458.99,-30384.26,304,True,True
2,39517,15242.5,-30458.99,-30384.26,304,True,True
2,39771,15243.71,-30461.42,-30386.69,315,True,True
2,39784,15240.73,-30455.45,-30380.72,332,True,True
2,39803,15246.78,-30467.56,-30392.83,363,True,True
2,39849,15243.01,-30460.03,-30385.3,311,True,True
2,39933,15242.58,-30459.16,-30384.43,304,True,True
2,40034,15244.14,-30462.29,-30387.56,319,True,True
2,40107,15245.08,-30464.15,-30389.42,337,True,True
2,40306,15242.5,-30458.99,-30384.26,304,True,True
2,40356,15242.64,-30459.27,-30384.54,304,True,True
2,40456,15242.66,-30459.32,-30384.59,304,True,True
2,40482,15242.5,-30458.99,-30384.26,304,True,True
2,40574,15244.41,-30462.82,-30388.09,334,True,True
2,40588,15244.04,-30462.08,-30387.35,319,True,True
2,40715,15242.5,-30458.99,-30384.26,304,True,True
2,40727,15244.56,-30463.13,-30388.4,334,True,True
2,40822,15243.3,-30460.6,-30385.87,311,True,True
2,40824,15244.3,-30462.6,-30387.87,334,True,True
2,40860,15244.51,-30463.02,-30388.29,334,True,True
2,41052,15243.22,-30460.43,-30385.7,311,True,True
2,41208,15242.67,-30459.34,-30384.61,304,True,True
2,41288,15244.33,-30462.65,-30387.92,334,True,True
2,41291,15242.65,-30459.29,-30384.56,304,True,True
2,41635,15242.5,-30458.99,-30384.26,304,True,True
2,41712,15243.31,-30460.61,-30385.88,311,True,True
2,41965,15243.95,-30461.91,-30387.18,319,True,True
2,42005,15243.26,-30460.52,-30385.79,311,True,True
2,42043,15242.5,-30458.99,-30384.26,304,True,True
2,42095,15242.5,-30458.99,-30384.26,304,True,True
2,42216,15242.58,-30459.16,-30384.43,304,True,True
2,42291,15244.68,-30463.37,-30388.64,334,True,True
2,42797,15244.38,-30462.76,-30388.03,334,True,True
2,42811,15244.1,-30462.2,-30387.47,319,True,True
2,42822,15240.88,-30455.76,-30381.03,332,True,True
2,42825,15243.2,-30460.41,-30385.68,311,True,True
2,42918,15243.72,-30461.45,-30386.72,315,True,True
2,42941,15243.96,-30461.92,-30387.19,319,True,True
2,43064,15244.35,-30462.69,-30387.96,334,True,True
2,43116,15243.84,-30461.68,-30386.95,319,True,True
2,43368,15243.8,-30461.61,-30386.88,319,True,True
2,43602,15242.5,-30458.99,-30384.26,304,True,True
2,43765,15242.57,-30459.14,-30384.41,304,True,True
2,43844,15244.19,-30462.37,-30387.64,319,True,True
2,44252,15243.96,-30461.93,-30387.2,319,True,True
2,44268,15244.52,-30463.04,-30388.31,334,True,True
2,44272,15243.02,-30460.03,-30385.3,311,True,True
2,44354,15242.5,-30458.99,-30384.26,304,True,True
2,44477,15243.48,-30460.97,-30386.24,312,True,True
2,44619,15242.61,-30459.23,-30384.5,304,True,True
2,44645,15242.5,-30458.99,-30384.26,304,True,True
2,44655,15242.5,-30458.99,-30384.26,304,True,True
2,44767,15243.17,-30460.35,-30385.62,311,True,True
2,44789,15243.4,-30460.8,-30386.07,312,True,True
2,44802,15242.83,-30459.66,-30384.93,311,True,True
2,44892,15242.5,-30458.99,-30384.26,304,True,True
2,45285,15242.5,-30458.99,-30384.26,304,True,True
2,45317,15243.45,-30460.89,-30386.16,312,True,True
2,45465,15244.3,-30462.6,-30387.87,319,True,True
2,45563,15242.5,-30458.99,-30384.26,304,True,True
2,45588,15244.34,-30462.68,-30387.95,334,True,True
2,45680,15242.56,-30459.11,-30384.38,304,True,True
2,46009,15244.93,-30463.87,-30389.14,337,True,True
2,46046,15242.5,-30458.99,-30384.26,304,True,True
2,46058,15244.04,-30462.09,-30387.36,319,True,True
2,46379,15242.5,-30458.99,-30384.26,304,True,True
2,46393,15242.5,-30458.99,-30384.26,304,True,True
