N_STATES,FROM_STATE,TO_STATE,RELATIVE_DAY,EVENT_COUNT,MEDIAN_DESTINATION_POSTERIOR,BOOTSTRAP_CI_LOWER,BOOTSTRAP_CI_UPPER
4,3,1,0,11,0.6431261364975444,0.5834181391757072,0.8071679099659951
4,3,1,1,11,0.7536018377227784,0.48622720398485214,0.9572124996429979
4,3,1,2,11,0.7648404189951213,0.5771452739713215,0.9157337962334259
4,3,1,3,11,0.7580580470630044,0.21903148210565496,0.8698291381245972
4,3,1,4,11,0.2166888419988749,0.018848563587335266,0.9410536635019952
4,3,1,5,11,0.5810550764637881,0.09255703396178967,0.9338503999960279
4,3,1,6,11,0.649727258715722,0.4980614754542823,0.9800783885864556
4,3,1,7,11,0.8547799766732794,0.32609520702605294,0.9815450753006781
4,3,1,8,11,0.6367092599585035,0.20282990059404296,0.9401314150077672
4,3,1,9,11,0.5941153802230825,0.02840648110746146,0.9536849302465196
4,3,1,10,11,0.6877319151583772,0.01748423291944063,0.9379336247191423
4,3,2,-10,5,0.8161112334694292,0.007960613724983101,0.9857155878491275
4,3,2,-9,5,0.954935703315157,0.004739692427318307,0.9927602058860369
4,3,2,-8,5,0.986433210713874,0.011746306121724542,0.9971257890835293
4,3,2,-7,5,0.923946626241637,0.005601569945881569,0.9981333838393855
4,3,2,-6,5,0.9246886235090264,0.08852369436264483,0.9976526928113583
4,3,2,-5,5,0.901660716372778,0.04277739424449049,0.9996014044253864
4,3,2,-4,5,0.9567342417546025,5.307868159912314e-05,0.9993439945174556
4,3,2,-3,5,0.9286531126523938,0.0006495972803609178,0.9971935090177008
4,3,2,-2,5,0.10739981599772577,2.3784521794991514e-05,0.9877811315157461
4,3,2,-1,5,2.1756754114718978e-06,2.111589222608686e-07,0.3846669486895612
4,3,2,0,5,0.7569957424830646,0.5668907022933766,0.8829619369759109
4,3,2,1,5,0.6651709458699684,0.0013135155548081312,0.8776914022305636
4,3,2,2,5,0.6185881838242315,0.09537389351201843,0.978344393611186
4,3,2,3,5,0.9143601841139339,0.0005675742501463272,0.997068786728003
4,3,2,4,5,0.6362625928619234,0.0004829329973198921,0.9950462097028013
4,3,2,5,5,0.833045620256537,0.004969074904210458,0.999569819875017
4,3,2,6,5,0.8729653283566896,3.4590740319788713e-07,0.9996240590428641
4,3,2,7,5,0.8381664088925865,0.017025363225182805,0.99849653628585
4,3,2,8,5,0.9077187169147495,0.01261406918518568,0.9983103223363626
4,3,2,9,5,0.9068210943918054,0.24260430433317465,0.9896390277292696
4,3,2,10,5,0.9873248756695485,0.19069512270606145,0.999632420818394
