DATE,SPXT,DBLCIX,IBOXIG,JPEICORE,LT11TRUU,LBUTTRUU
2008-05-07,-0.01786,0.00864,-0.00064,-0.00151,0.00322,0.00088
2008-05-08,0.00371,0.00882,0.00217,0.00022,0.00932,0.00715
2008-05-09,-0.00654,0.01317,0.00426,-0.00029,0.00552,0.00376
2008-05-12,0.01099,-0.01004,0.00101,7e-05,0.0005,-0.00027
2008-05-13,-0.00016,0.00768,-0.00311,-0.00235,-0.01394,-0.00786
2008-05-14,0.00417,-0.01519,-0.00388,-0.00156,-0.00288,-0.0006
2008-05-15,0.01071,0.00435,0.00147,0.00228,0.00936,0.00617
2008-05-16,0.00128,0.01327,0.00172,0.00447,-0.00017,0.00225
2008-05-19,0.00093,0.00252,0.00095,0.00079,0.00089,0.00338
2008-05-20,-0.00932,0.0156,0.00248,0.00126,0.00599,0.00601
2008-05-21,-0.01611,0.02479,-0.00082,0.00097,-0.00292,0.00027
2008-05-22,0.0028,-0.01067,-0.00534,-0.00334,-0.00977,-0.00705
2008-05-23,-0.01329,0.00014,0.00229,-0.0005,0.00968,0.00356
2008-05-27,0.00683,-0.01374,-0.00568,-0.00177,-0.01228,-0.00708
2008-05-28,0.00415,0.00462,-0.00629,-0.00181,-0.00775,-0.00782
2008-05-29,0.00544,-0.02712,-0.0029,-0.00152,-0.0094,-0.00435
2008-05-30,0.00152,0.00976,0.00097,0.00249,0.00912,0.00449
2008-06-02,-0.01053,0.00981,0.00348,0.00206,0.00338,0.00304
2008-06-03,-0.00577,-0.02113,0.00289,0.00176,0.00834,0.00193
2008-06-04,0.00016,-0.01171,-0.00103,-7e-05,-0.00862,-0.00544
2008-06-05,0.01938,0.03192,-0.0027,-0.00173,-0.00699,-0.00421
2008-06-06,-0.03126,0.05003,0.00385,0.00097,0.01139,0.01057
2008-06-09,0.00083,-0.01552,-0.00045,-0.00086,0.0029,-0.00303
2008-06-10,-0.00244,-0.00503,-0.00534,-0.00422,-0.01125,-0.00707
2008-06-11,-0.01682,0.03716,-0.00052,-0.00029,0.00028,0.00204
2008-06-12,0.00335,-0.00093,-0.00615,-0.00457,-0.00986,-0.00771
2008-06-13,0.01496,-0.0021,-0.00442,-0.00247,-0.0054,-0.00276
2008-06-16,8e-05,0.00438,0.0,-0.00142,0.0038,0.00425
2008-06-17,-0.00679,0.00365,0.00085,0.00066,-0.00111,0.00051
2008-06-18,-0.00974,0.01015,0.00345,0.00222,0.00842,0.00552
2008-06-19,0.00401,-0.0231,-0.00149,-0.00259,-0.00275,-0.00399
2008-06-20,-0.01871,0.00705,0.00136,-0.00197,0.00719,0.00278
2008-06-23,6e-05,0.00495,-0.0013,-0.00143,-0.0009,-0.0013
2008-06-24,-0.00281,0.00106,0.00169,-0.00143,0.0072,0.00657
2008-06-25,0.00587,-0.00384,0.00019,-0.00136,-0.00028,-9e-05
2008-06-26,-0.0295,0.03019,-0.00071,-0.00489,0.00837,0.01028
2008-06-27,-0.00369,0.00225,-0.00241,-0.00126,0.00929,0.00141
2008-06-30,0.00127,-0.00898,0.00163,0.00107,0.00058,0.00191
2008-07-01,0.00402,0.00807,-0.00182,-0.00347,-0.00173,0.00155
2008-07-02,-0.01832,0.02112,0.00273,0.001,0.00605,0.00702
2008-07-03,0.00111,-0.00145,-0.00065,-0.00041,-0.00299,0.00131
2008-07-07,-0.0084,-0.01573,0.00091,0.00211,0.0043,5e-05
2008-07-08,0.01732,-0.02949,0.00537,-0.001,0.00695,-0.00014
2008-07-09,-0.02293,0.00054,0.00264,0.00362,0.00369,0.00427
2008-07-10,0.00696,0.02366,0.00077,0.00026,0.00092,0.00081
2008-07-11,-0.01107,0.01296,-0.00484,-0.00217,-0.01419,-0.00796
2008-07-15,-0.02001,-0.03411,0.00149,-0.00055,0.00716,0.00671
2008-07-16,0.02488,-0.01273,-0.00362,0.00111,-0.01534,-0.00405
2008-07-17,0.01197,-0.02657,-0.00461,0.00228,-0.00797,-0.00805
2008-07-18,0.00029,-0.01388,-0.00372,0.00055,-0.00271,-0.00419
2008-07-21,-0.00051,0.00562,-0.00268,0.00143,0.00201,-0.00064
2008-07-22,0.01342,-0.0167,-0.00381,0.00062,-0.00265,-0.00352
2008-07-23,0.00405,-0.02328,-0.00204,0.00224,-0.0053,-0.00957
2008-07-24,-0.02337,-0.00091,0.00375,0.0007,0.01282,0.00852
2008-07-25,0.00417,-0.0037,-0.00197,-0.00128,-0.01195,-0.00644
2008-07-28,-0.01878,0.0069,0.00243,0.00117,0.01245,0.00868
2008-07-29,0.02317,-0.0136,-0.00026,0.00051,-0.00108,-0.00436
2008-07-30,0.0166,0.01404,0.00026,0.00212,-0.00209,0.00161
2008-07-31,-0.01303,-0.01424,0.00354,0.0027,0.00541,0.0033
2008-08-01,-0.00559,-0.00257,0.00203,-0.00073,0.00486,0.00361
2008-08-04,-0.00899,-0.02961,0.00013,-4e-05,-0.00179,-0.00155
2008-08-05,0.02841,-0.01539,0.00124,0.0004,-0.00565,-0.00485
2008-08-06,0.00381,-0.00991,-0.00235,0.00029,-0.00763,-0.00427
2008-08-07,-0.018,0.01173,0.00222,-0.00015,0.0175,0.01072
2008-08-08,0.02361,-0.03082,0.00169,-0.00295,0.0014,-0.00292
2008-08-11,0.00716,-0.00299,-0.00033,0.00088,-0.00766,-0.00573
2008-08-12,-0.01208,-0.00952,0.00241,0.0019,0.00925,0.00477
2008-08-13,-0.00259,0.02807,0.00026,0.00069,-0.00384,-0.00142
2008-08-14,0.00554,-0.00181,0.00032,0.00073,0.00836,0.00598
2008-08-15,0.00419,-0.01289,0.00194,0.00178,0.00628,0.001
2008-08-18,-0.01515,0.00319,0.00259,-0.00011,0.00525,0.00145
2008-08-19,-0.00927,0.00954,6e-05,-0.00076,-0.00403,-0.00123
2008-08-20,0.00624,0.01277,0.00045,0.00091,0.004,0.00485
2008-08-21,0.00256,0.04104,-0.0011,-0.00047,-0.00321,0.00122
2008-08-22,0.01138,-0.03738,-0.00207,0.00029,0.00092,-0.00412
2008-08-25,-0.01981,-0.00102,0.00142,0.00054,0.00864,0.00417
2008-08-26,0.00369,-0.00018,0.00078,-0.00051,0.00102,0.00036
2008-08-27,0.00813,0.00422,0.00142,0.00123,0.00158,0.00244
2008-08-28,0.01489,-0.01483,-0.0011,0.0025,-0.00032,-0.0033
2008-08-29,-0.01377,-0.00442,-0.00045,0.0013,-0.00356,-0.00303
2008-09-02,-0.00406,-0.02904,0.00168,-0.00029,0.00772,-0.00068
2008-09-03,-0.00153,-0.0051,0.00174,-0.00011,0.00608,-0.00118
2008-09-04,-0.03036,-0.00842,0.00277,-0.00188,0.00533,-0.00218
2008-09-05,0.00446,-0.01742,-0.00071,-0.00167,0.00066,5e-05
2008-09-08,0.02047,-0.00126,0.00135,0.00181,0.00176,0.00327
2008-09-09,-0.03473,-0.02284,0.00218,-0.00163,0.01084,0.00218
2008-09-10,0.00618,-0.01079,-0.00289,-0.00065,-0.00474,-0.00023
2008-09-11,0.01403,-0.00896,-0.00322,-0.00476,0.00268,0.00285
2008-09-12,0.00214,0.01115,-0.00452,-0.00362,-0.01683,-0.00948
2008-09-15,-0.04828,-0.03065,-0.03164,-0.01872,0.02649,0.00632
