N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
4,SPXT_LAG_0,0.02,-0.07698037974683544,2 vs 0,-0.5077075812637943,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07446329113924051,2 vs 0,-0.5190741171099916,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.07194620253164558,2 vs 0,-0.5304951735731005,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.06942911392405063,2 vs 0,-0.541974329932534,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.0669120253164557,2 vs 0,-0.5535151654677047,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.06439493670886076,2 vs 0,-0.5651212594580266,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.06187784810126583,2 vs 0,-0.5767961911829124,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.05936075949367089,2 vs 0,-0.5885435399217753,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.05684367088607595,2 vs 0,-0.6003668849540287,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.054326582278481014,2 vs 0,-0.612269787142621,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.05180949367088608,2 vs 0,-0.6242519030600118,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.04929240506329114,2 vs 0,-0.6363041782909199,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.0467753164556962,2 vs 0,-0.6484163797663303,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.04425822784810127,2 vs 0,-0.6605782744172289,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
